Laporan Penjualan

Tanggal Cetak,2017-08-11 - 2017-12-11
Laporan Omzet,Rp.306.110.000
Laporan Laba Kotor,Rp.306.110.000
Laporan Penjualan,2572
Laporan Barang,2572




ID Pesanan,Waktu,SKU,Nama Barang,Jumlah,Harga Jual,Total,Harga Beli,Laba
Pesanan ID-20171210-706758,2017-12-10T00:43:45Z,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",1,Rp.120.000,Rp.120.000,Rp.67.300,Rp.52.700
Pesanan ID-20171210-623168,2017-12-10T00:42:16Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.120.000,Rp.120.000,Rp.62.209,Rp.57.791
Pesanan ID-20171210-211334,2017-12-10T00:59:57Z,SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",1,Rp.115.000,Rp.115.000,Rp.71.854,Rp.43.146
Pesanan ID-20171210-223115,2017-12-10T00:57:36Z,SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",1,Rp.125.000,Rp.125.000,Rp.71.835,Rp.53.165
Pesanan ID-20171210-223115,2017-12-10T00:57:36Z,SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",1,Rp.120.000,Rp.120.000,Rp.71.880,Rp.48.120
Pesanan ID-20171210-211452,2017-12-10T00:30:02Z,SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",1,Rp.125.000,Rp.125.000,Rp.66.955,Rp.58.045
Pesanan ID-20171209-694435,2017-12-10T00:25:16Z,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,Rp.110.000,Rp.110.000,Rp.74.010,Rp.35.990
Pesanan ID-20171209-117142,2017-12-09T00:27:02Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.110.000,Rp.110.000,Rp.62.209,Rp.47.791
Pesanan ID-20171209-117142,2017-12-09T00:27:02Z,SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",1,Rp.130.000,Rp.130.000,Rp.73.323,Rp.56.677
Pesanan ID-20171209-366637,2017-12-09T00:17:19Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.120.000,Rp.120.000,Rp.67.365,Rp.52.635
Pesanan ID-20171209-470893,2017-12-09T00:36:14Z,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",1,Rp.130.000,Rp.130.000,Rp.69.808,Rp.60.192
Pesanan ID-20171209-414655,2017-12-09T00:21:31Z,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",1,Rp.115.000,Rp.115.000,Rp.75.209,Rp.39.791
Pesanan ID-20171209-414655,2017-12-09T00:21:31Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.115.000,Rp.115.000,Rp.62.209,Rp.52.791
Pesanan ID-20171209-549940,2017-12-09T00:42:37Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.110.000,Rp.110.000,Rp.62.209,Rp.47.791
Pesanan ID-20171209-549940,2017-12-09T00:42:37Z,SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",1,Rp.130.000,Rp.130.000,Rp.69.046,Rp.60.954
Pesanan ID-20171209-415144,2017-12-09T00:11:57Z,SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",1,Rp.130.000,Rp.130.000,Rp.65.364,Rp.64.636
Pesanan ID-20171209-963179,2017-12-09T00:05:10Z,SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",1,Rp.115.000,Rp.115.000,Rp.65.364,Rp.49.636
Pesanan ID-20171209-963179,2017-12-09T00:05:10Z,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,Rp.115.000,Rp.115.000,Rp.74.010,Rp.40.990
Pesanan ID-20171209-342079,2017-12-09T00:02:50Z,SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",1,Rp.125.000,Rp.125.000,Rp.73.323,Rp.51.677
Pesanan ID-20171209-683254,2017-12-09T00:49:59Z,SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",1,Rp.130.000,Rp.130.000,Rp.73.323,Rp.56.677
Pesanan ID-20171208-101785,2017-12-08T00:15:53Z,SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",1,Rp.115.000,Rp.115.000,Rp.65.303,Rp.49.697
Pesanan ID-20171208-101785,2017-12-08T00:15:53Z,SSI-D01037807-X3-BWH,"Dellaya Plain Loose Big Blouse (XXXL,Broken White)",1,Rp.130.000,Rp.130.000,Rp.62.320,Rp.67.680
Pesanan ID-20171208-679432,2017-12-08T00:21:58Z,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,Rp.115.000,Rp.115.000,Rp.67.500,Rp.47.500
Pesanan ID-20171208-608958,2017-12-08T00:13:47Z,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,Rp.120.000,Rp.120.000,Rp.73.266,Rp.46.734
Pesanan ID-20171208-608958,2017-12-08T00:13:47Z,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",1,Rp.130.000,Rp.130.000,Rp.75.209,Rp.54.791
Pesanan ID-20171208-871274,2017-12-08T00:17:59Z,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,Rp.130.000,Rp.130.000,Rp.67.500,Rp.62.500
Pesanan ID-20171208-871274,2017-12-08T00:17:59Z,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,Rp.120.000,Rp.120.000,Rp.67.500,Rp.52.500
Pesanan ID-20171208-928009,2017-12-08T00:15:49Z,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,Rp.125.000,Rp.125.000,Rp.73.266,Rp.51.734
Pesanan ID-20171208-928009,2017-12-08T00:15:49Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.130.000,Rp.130.000,Rp.62.209,Rp.67.791
Pesanan ID-20171208-527174,2017-12-08T00:22:53Z,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,Rp.125.000,Rp.125.000,Rp.73.266,Rp.51.734
Barang Hilang,2017-12-08T00:06:13Z,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,Rp.0,Rp.0,Rp.73.266,-Rp.73.266
Pesanan ID-20171208-606576,2017-12-08T00:26:57Z,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,Rp.115.000,Rp.115.000,Rp.67.500,Rp.47.500
Pesanan ID-20171208-900678,2017-12-08T00:22:47Z,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,Rp.125.000,Rp.125.000,Rp.67.500,Rp.57.500
Pesanan ID-20171208-730436,2017-12-08T00:41:49Z,SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",1,Rp.110.000,Rp.110.000,Rp.65.364,Rp.44.636
Pesanan ID-20171208-686195,2017-12-08T00:15:18Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.110.000,Rp.110.000,Rp.67.365,Rp.42.635
Pesanan ID-20171208-686195,2017-12-08T00:15:18Z,SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",1,Rp.130.000,Rp.130.000,Rp.71.854,Rp.58.146
Pesanan ID-20171208-672620,2017-12-08T00:13:37Z,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,Rp.130.000,Rp.130.000,Rp.74.010,Rp.55.990
Pesanan ID-20171208-746419,2017-12-08T00:56:59Z,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,Rp.110.000,Rp.110.000,Rp.67.500,Rp.42.500
Pesanan ID-20171208-684258,2017-12-08T00:12:08Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.130.000,Rp.130.000,Rp.67.365,Rp.62.635
Pesanan ID-20171208-684258,2017-12-08T00:12:08Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.115.000,Rp.115.000,Rp.67.365,Rp.47.635
Pesanan ID-20171208-626382,2017-12-08T00:38:35Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.130.000,Rp.130.000,Rp.62.209,Rp.67.791
Pesanan ID-20171208-568576,2017-12-08T00:42:30Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.110.000,Rp.110.000,Rp.62.209,Rp.47.791
Pesanan ID-20171208-568576,2017-12-08T00:42:30Z,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,Rp.125.000,Rp.125.000,Rp.72.263,Rp.52.737
Pesanan ID-20171207-021250,2017-12-08T00:13:34Z,SSI-D01326286-LL-KHA,"Siunfhi Ethnic Trump Blouse (L,Khaki)",1,Rp.125.000,Rp.125.000,Rp.68.454,Rp.56.546
Pesanan ID-20171207-736072,2017-12-07T00:17:25Z,SSI-D00791015-LL-BWH,"Zalekia Plain Casual Blouse (L,Broken White)",1,Rp.125.000,Rp.125.000,Rp.70.447,Rp.54.553
Pesanan ID-20171207-966648,2017-12-07T00:10:01Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.130.000,Rp.130.000,Rp.67.365,Rp.62.635
Pesanan ID-20171207-049209,2017-12-07T00:14:21Z,SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",1,Rp.115.000,Rp.115.000,Rp.65.364,Rp.49.636
Pesanan ID-20171207-845440,2017-12-07T00:25:35Z,SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",1,Rp.120.000,Rp.120.000,Rp.72.543,Rp.47.457
Pesanan ID-20171207-845440,2017-12-07T00:25:35Z,SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",1,Rp.125.000,Rp.125.000,Rp.67.300,Rp.57.700
Pesanan ID-20171207-658742,2017-12-07T00:16:06Z,SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",1,Rp.130.000,Rp.130.000,Rp.71.835,Rp.58.165
Pesanan ID-20171207-658742,2017-12-07T00:16:06Z,SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",1,Rp.130.000,Rp.130.000,Rp.71.880,Rp.58.120
Pesanan ID-20171207-371707,2017-12-07T00:14:34Z,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,Rp.130.000,Rp.130.000,Rp.74.010,Rp.55.990
Pesanan ID-20171207-363609,2017-12-07T00:01:06Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.125.000,Rp.125.000,Rp.67.365,Rp.57.635
Pesanan ID-20171207-489881,2017-12-07T00:00:17Z,SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",1,Rp.115.000,Rp.115.000,Rp.67.666,Rp.47.334
Pesanan ID-20171207-213561,2017-12-07T00:13:13Z,SSI-D01326286-LL-KHA,"Siunfhi Ethnic Trump Blouse (L,Khaki)",1,Rp.110.000,Rp.110.000,Rp.68.454,Rp.41.546
Pesanan ID-20171207-213561,2017-12-07T00:13:13Z,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,Rp.110.000,Rp.110.000,Rp.74.010,Rp.35.990
Pesanan ID-20171207-121592,2017-12-07T00:16:00Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.115.000,Rp.115.000,Rp.67.365,Rp.47.635
Pesanan ID-20171207-121592,2017-12-07T00:16:00Z,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,Rp.110.000,Rp.110.000,Rp.73.266,Rp.36.734
Pesanan ID-20171207-363344,2017-12-07T00:36:02Z,SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",1,Rp.120.000,Rp.120.000,Rp.66.955,Rp.53.045
Pesanan ID-20171207-252527,2017-12-07T00:53:15Z,SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",1,Rp.115.000,Rp.115.000,Rp.67.666,Rp.47.334
Pesanan ID-20171207-252527,2017-12-07T00:53:15Z,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,Rp.125.000,Rp.125.000,Rp.71.780,Rp.53.220
Pesanan ID-20171207-083579,2017-12-07T00:36:14Z,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,Rp.120.000,Rp.120.000,Rp.71.780,Rp.48.220
Pesanan ID-20171207-154800,2017-12-07T00:12:32Z,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,Rp.115.000,Rp.115.000,Rp.73.266,Rp.41.734
Pesanan ID-20171207-154800,2017-12-07T00:12:32Z,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,Rp.120.000,Rp.120.000,Rp.74.010,Rp.45.990
Pesanan ID-20171207-374282,2017-12-07T00:34:41Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.115.000,Rp.115.000,Rp.62.209,Rp.52.791
Pesanan ID-20171206-040870,2017-12-06T00:12:03Z,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,Rp.130.000,Rp.130.000,Rp.67.500,Rp.62.500
Pesanan ID-20171206-414465,2017-12-06T00:11:24Z,SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",1,Rp.130.000,Rp.130.000,Rp.71.880,Rp.58.120
Pesanan ID-20171206-877565,2017-12-06T00:58:35Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.130.000,Rp.130.000,Rp.62.209,Rp.67.791
Pesanan ID-20171206-877565,2017-12-06T00:58:35Z,SSI-D01220357-SS-YEL,"Devibav Plain Trump Blouse (S,Yellow)",1,Rp.115.000,Rp.115.000,Rp.63.650,Rp.51.350
Pesanan ID-20171206-890720,2017-12-06T00:45:35Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.115.000,Rp.115.000,Rp.62.209,Rp.52.791
Pesanan ID-20171206-752043,2017-12-06T00:19:53Z,SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",1,Rp.120.000,Rp.120.000,Rp.72.543,Rp.47.457
Pesanan ID-20171206-100887,2017-12-06T00:52:42Z,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,Rp.130.000,Rp.130.000,Rp.73.266,Rp.56.734
Pesanan ID-20171206-845897,2017-12-06T00:33:10Z,SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",1,Rp.115.000,Rp.115.000,Rp.66.955,Rp.48.045
Pesanan ID-20171206-990859,2017-12-06T00:41:14Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.120.000,Rp.120.000,Rp.67.365,Rp.52.635
Pesanan ID-20171206-904900,2017-12-06T00:25:42Z,SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",1,Rp.130.000,Rp.130.000,Rp.75.209,Rp.54.791
Pesanan ID-20171206-877780,2017-12-06T00:05:48Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",2,Rp.110.000,Rp.220.000,Rp.62.209,Rp.47.791
Pesanan ID-20171206-877780,2017-12-06T00:05:48Z,SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",1,Rp.115.000,Rp.115.000,Rp.72.543,Rp.42.457
Pesanan ID-20171206-934657,2017-12-06T00:34:13Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.125.000,Rp.125.000,Rp.67.365,Rp.57.635
Pesanan ID-20171206-934657,2017-12-06T00:34:13Z,SSI-D01326286-LL-KHA,"Siunfhi Ethnic Trump Blouse (L,Khaki)",1,Rp.120.000,Rp.120.000,Rp.68.454,Rp.51.546
Pesanan ID-20171206-883808,2017-12-06T00:14:21Z,SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",1,Rp.110.000,Rp.110.000,Rp.72.543,Rp.37.457
Pesanan ID-20171206-130674,2017-12-06T00:07:33Z,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,Rp.110.000,Rp.110.000,Rp.70.702,Rp.39.298
Pesanan ID-20171205-584972,2017-12-06T00:51:57Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.120.000,Rp.120.000,Rp.62.209,Rp.57.791
Pesanan ID-20171205-820027,2017-12-05T00:11:05Z,SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",1,Rp.125.000,Rp.125.000,Rp.74.010,Rp.50.990
Pesanan ID-20171205-820027,2017-12-05T00:11:05Z,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,Rp.120.000,Rp.120.000,Rp.71.780,Rp.48.220
Barang Rusak,2017-12-05T00:57:23Z,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,Rp.0,Rp.0,Rp.72.263,-Rp.72.263
Pesanan ID-20171205-375955,2017-12-05T00:52:54Z,SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",1,Rp.115.000,Rp.115.000,Rp.72.543,Rp.42.457
Pesanan ID-20171205-375955,2017-12-05T00:52:54Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.130.000,Rp.130.000,Rp.62.209,Rp.67.791
Pesanan ID-20171205-024952,2017-12-05T00:15:40Z,SSI-D00791015-LL-BWH,"Zalekia Plain Casual Blouse (L,Broken White)",1,Rp.110.000,Rp.110.000,Rp.70.447,Rp.39.553
Pesanan ID-20171205-799418,2017-12-05T00:38:45Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.110.000,Rp.110.000,Rp.67.365,Rp.42.635
Pesanan ID-20171205-990226,2017-12-05T00:07:24Z,SSI-D01220357-SS-YEL,"Devibav Plain Trump Blouse (S,Yellow)",1,Rp.115.000,Rp.115.000,Rp.63.650,Rp.51.350
Pesanan ID-20171205-897421,2017-12-05T00:44:12Z,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,Rp.110.000,Rp.110.000,Rp.73.266,Rp.36.734
Pesanan ID-20171205-723710,2017-12-05T00:14:59Z,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,Rp.110.000,Rp.110.000,Rp.73.266,Rp.36.734
Pesanan ID-20171205-814748,2017-12-05T00:55:42Z,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",1,Rp.120.000,Rp.120.000,Rp.69.808,Rp.50.192
Pesanan ID-20171205-814748,2017-12-05T00:55:42Z,SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",1,Rp.125.000,Rp.125.000,Rp.73.323,Rp.51.677
Pesanan ID-20171205-569746,2017-12-05T00:41:32Z,SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",1,Rp.110.000,Rp.110.000,Rp.66.955,Rp.43.045
Pesanan ID-20171205-140438,2017-12-05T00:10:19Z,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,Rp.125.000,Rp.125.000,Rp.71.780,Rp.53.220
Pesanan ID-20171205-959024,2017-12-05T00:05:42Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.125.000,Rp.125.000,Rp.67.365,Rp.57.635
Pesanan ID-20171205-387144,2017-12-05T00:01:45Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.110.000,Rp.110.000,Rp.67.365,Rp.42.635
Pesanan ID-20171205-126530,2017-12-05T00:45:00Z,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,Rp.120.000,Rp.120.000,Rp.71.780,Rp.48.220
Pesanan ID-20171205-458232,2017-12-05T00:56:08Z,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,Rp.125.000,Rp.125.000,Rp.73.266,Rp.51.734
Pesanan ID-20171205-004590,2017-12-05T00:54:54Z,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,Rp.130.000,Rp.130.000,Rp.66.870,Rp.63.130
Pesanan ID-20171205-004590,2017-12-05T00:54:54Z,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,Rp.115.000,Rp.115.000,Rp.67.500,Rp.47.500
Pesanan ID-20171205-488011,2017-12-05T00:50:41Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.130.000,Rp.130.000,Rp.67.365,Rp.62.635
Pesanan ID-20171205-876768,2017-12-05T00:33:49Z,SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",1,Rp.130.000,Rp.130.000,Rp.71.780,Rp.58.220
Pesanan ID-20171205-795323,2017-12-05T00:52:53Z,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",3,Rp.130.000,Rp.390.000,Rp.67.500,Rp.62.500
Pesanan ID-20171205-795323,2017-12-05T00:52:53Z,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,Rp.120.000,Rp.120.000,Rp.67.500,Rp.52.500
Pesanan ID-20171205-572989,2017-12-05T00:03:48Z,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,Rp.125.000,Rp.125.000,Rp.73.266,Rp.51.734
Pesanan ID-20171205-667277,2017-12-05T00:00:57Z,SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",1,Rp.130.000,Rp.130.000,Rp.69.808,Rp.60.192
Pesanan ID-20171205-214315,2017-12-05T00:43:56Z,SSI-D01326223-MM-KHA,"Siunfhi Ethnic Trump Blouse (M,Khaki)",1,Rp.110.000,Rp.110.000,Rp.64.728,Rp.45.272
Pesanan ID-20171205-214315,2017-12-05T00:43:56Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.120.000,Rp.120.000,Rp.62.209,Rp.57.791
Pesanan ID-20171205-587922,2017-12-05T00:34:28Z,SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",1,Rp.125.000,Rp.125.000,Rp.62.209,Rp.62.791
Pesanan ID-20171205-044965,2017-12-05T00:45:31Z,SSI-D01220357-SS-YEL,"Devibav Plain Trump Blouse (S,Yellow)",1,Rp.120.000,Rp.120.000,Rp.63.650,Rp.56.350
Pesanan ID-20171205-044965,2017-12-05T00:45:31Z,SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",1,Rp.110.000,Rp.110.000,Rp.72.263,Rp.37.737
Pesanan ID-20171205-094700,2017-12-05T00:35:32Z,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",1,Rp.110.000,Rp.110.000,Rp.66.870,Rp.43.130
Pesanan ID-20171205-094700,2017-12-05T00:35:32Z,SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",1,Rp.110.000,Rp.110.000,Rp.67.365,Rp.42.635
Pesanan ID-20171204-238474,2017-12-04T00:30:38Z,SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",2,Rp.115.000,Rp.230.000,Rp.66.870,Rp.48.130
Pesanan ID-20171204-238474,2017-12-04T00:30:38Z,SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",1,Rp.115.000,Rp.115.000,Rp.67.500,Rp.47.500
Pesanan ID-20171204-597470,2017-12-04T00:45:09Z,SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",1,Rp.125.000,Rp.125.000,Rp.73.266,Rp.51.734
Pesanan ID-20171204-557630,2017-12-04T00:31:44Z,SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",1,Rp.125.000,Rp.125.000,Rp.70.702,Rp.54.298
